id,workload,max_width,tasktype
0,16,1,MEMORY
1,30,1,MEMORY
2,22,4,FMULT
3,50,4,FMULT
4,26,1,FMULT
5,28,1,MEMORY
6,16,4,MEMORY
7,6,1,MEMORY
8,93,4,SIMD
9,82,4,SIMD
10,85,4,SIMD
11,12,1,MEMORY
12,77,4,FMULT
13,3,2,SIMD
14,70,4,FMULT
15,35,1,FMULT
16,49,4,FMULT
17,21,2,MEMORY
18,73,4,MEMORY
19,69,4,FMULT
20,55,2,SIMD
21,24,1,FMULT
22,1,1,SIMD
23,26,4,FMULT
24,84,4,SIMD
25,34,4,SIMD
26,40,4,FMULT
27,16,4,FMULT
28,29,4,SIMD
29,14,2,MEMORY
30,35,2,MEMORY
31,43,2,FMULT
32,18,4,FMULT
33,51,4,FMULT
34,80,2,MEMORY
35,19,2,SIMD
36,18,2,MEMORY
37,95,2,MEMORY
38,80,2,FMULT
39,58,4,MEMORY
